edad,sexo,horas_entrenamiento,vo2max,porcentaje_grasa,consumo_proteina,suplementos,competencias_anuales,lesiones_previas,rendimiento
35,M,11.8,51.7,17.8,1.76,1,11,0,44.54
25,F,6.5,47.5,16.5,2.24,0,7,1,48.67
21,F,11.6,63.8,10.5,1.81,0,2,0,42.42
19,F,8.6,54.8,11.5,1.71,0,7,1,41.71
23,M,11.1,73.6,19.6,2.08,0,4,2,42.44
39,M,8.5,63.7,22.0,1.94,1,11,1,43.75
27,M,6.8,55.8,14.1,1.36,0,7,1,41.1
21,F,12.1,68.1,14.0,1.69,0,4,1,41.87
39,F,8.6,52.0,16.9,1.08,0,7,1,44.36
35,F,8.4,42.3,16.9,1.44,0,4,0,49.52
29,M,10.0,49.7,8.8,1.69,0,9,3,46.53
19,F,10.3,57.9,16.4,1.42,1,0,0,43.56
27,F,10.0,55.0,6.6,1.68,0,4,1,41.4
21,F,4.6,58.1,11.8,1.6,1,4,0,44.24
31,F,6.4,52.8,17.2,1.76,1,6,0,45.1
33,M,6.4,59.0,17.0,1.47,0,9,2,46.37
32,M,6.1,64.0,10.9,1.32,0,10,1,47.05
25,F,5.8,52.3,13.4,2.04,0,4,0,42.79
31,M,6.3,57.5,12.4,1.45,0,2,3,45.8
25,M,8.8,43.4,15.7,1.8,0,7,2,48.94
38,F,9.2,55.1,14.9,2.03,0,7,1,43.85
33,F,8.0,46.4,18.5,1.65,0,10,0,49.58
30,M,6.9,55.1,12.9,1.34,1,9,0,45.4
35,F,11.2,59.2,16.1,1.55,0,7,0,41.5
32,M,7.8,56.5,16.9,1.91,1,3,1,45.77
38,F,10.3,53.5,15.9,1.66,0,11,0,42.6
30,M,6.6,70.0,12.5,1.24,1,7,1,41.0
26,F,9.0,46.9,16.5,1.78,0,6,0,45.26
32,M,11.4,48.4,18.7,1.83,0,7,4,50.87
30,M,2.0,61.8,17.7,1.49,1,3,1,48.0
18,M,6.4,48.8,22.9,1.78,0,7,0,47.59
24,F,9.5,49.6,11.6,1.67,0,9,0,45.32
26,M,11.0,73.5,11.4,1.54,1,5,1,41.01
18,M,8.5,62.3,7.8,1.21,0,9,1,39.67
29,F,8.1,50.9,19.1,1.92,0,6,3,47.97
25,F,12.0,59.7,13.2,1.83,1,12,2,43.35
28,M,11.2,71.2,14.2,1.78,1,13,1,42.98
36,M,5.8,58.1,12.3,2.06,1,6,2,44.24
34,F,8.3,64.2,12.8,1.88,0,3,0,40.4
25,F,8.9,61.4,19.3,1.81,1,2,2,45.6
20,F,12.3,65.0,16.8,1.0,0,9,3,43.02
20,F,10.2,57.0,14.4,1.96,1,3,0,42.49
18,F,7.7,54.8,18.1,1.62,1,5,2,46.58
22,M,8.6,57.3,17.9,1.69,1,7,0,43.68
27,F,3.3,56.4,13.3,1.7,1,3,0,46.95
24,M,10.4,54.9,9.1,1.83,0,5,1,45.7
26,M,9.6,57.1,11.2,1.94,1,6,1,45.03
24,M,11.0,55.2,9.6,1.79,1,8,3,40.83
26,F,7.6,55.5,19.6,1.74,0,10,3,46.56
25,M,8.3,46.5,21.2,1.67,1,7,0,46.63
29,M,6.8,72.3,19.6,1.0,0,8,0,39.47
19,F,5.1,47.5,7.7,1.51,1,9,2,44.27
18,M,6.5,51.3,19.7,1.32,1,9,1,46.85
33,M,3.5,45.7,24.8,1.96,1,13,0,48.55
22,F,10.3,61.1,18.8,1.79,0,8,1,44.41
20,M,2.6,49.3,7.0,1.46,0,2,1,42.76
29,M,13.1,52.3,22.3,1.49,0,4,1,44.83
25,M,3.6,56.1,15.1,1.48,1,3,3,48.13
39,F,11.7,63.5,13.2,1.48,0,6,0,41.44
20,F,5.7,52.7,17.0,1.17,0,9,0,46.68
18,F,9.4,51.5,11.2,1.1,1,11,0,44.18
20,M,6.1,68.8,13.6,1.61,0,7,2,43.19
22,M,12.2,60.7,20.9,1.92,1,4,0,43.85
32,F,8.1,46.2,18.4,1.44,1,3,1,45.59
31,M,10.7,67.1,14.0,1.69,1,11,2,42.43
20,M,8.2,49.2,15.9,1.82,0,6,1,43.97
18,F,8.9,74.9,8.3,1.3,0,9,3,43.85
22,F,9.5,56.8,14.2,1.59,0,7,1,43.58
31,M,6.7,61.1,7.9,1.4,0,8,1,44.88
24,M,4.8,37.9,20.8,2.08,0,3,2,51.45
26,M,4.7,43.4,7.4,2.07,0,5,1,44.11
32,F,8.1,64.4,17.5,1.3,1,4,4,47.14
32,F,6.8,56.3,18.8,1.72,1,8,1,47.78
27,F,2.6,65.0,19.3,1.92,0,6,1,46.09
30,F,9.3,59.4,14.9,1.85,1,4,0,43.32
36,M,5.0,53.6,18.8,1.62,1,7,0,45.21
24,F,5.1,64.7,13.4,1.99,1,6,0,43.31
34,F,7.9,62.0,9.6,1.33,1,4,2,43.96
37,F,5.7,51.8,21.4,1.51,0,8,1,46.66
21,F,8.3,47.6,15.4,1.34,0,14,1,44.01
22,F,12.9,42.3,10.6,1.83,0,7,3,48.56
24,M,7.1,51.2,13.5,1.43,0,10,3,48.32
30,M,5.4,44.6,14.3,1.55,1,4,2,46.92
32,F,8.5,73.6,15.0,1.79,1,6,0,41.75
28,M,6.1,48.9,25.0,1.81,0,4,2,46.88
21,F,8.1,50.3,17.6,1.33,0,6,1,42.42
30,F,8.8,45.0,16.8,1.92,1,12,0,48.13
24,M,7.9,53.1,25.0,1.74,0,7,0,47.52
36,M,8.1,50.4,19.4,1.28,0,10,0,45.91
39,F,8.5,67.6,14.8,1.2,1,5,1,43.43
19,F,12.0,59.4,12.6,1.6,0,9,0,48.24
27,F,7.4,54.5,16.3,1.86,0,4,0,46.57
30,M,8.3,54.3,14.8,1.86,0,5,0,42.12
38,F,10.2,62.3,14.6,1.71,1,8,0,39.03
23,F,9.2,52.8,20.5,1.61,0,6,1,48.5
29,F,7.1,59.0,12.4,1.75,0,8,2,46.58
29,M,10.3,68.1,15.7,1.34,0,6,1,43.72
37,F,5.8,56.5,18.6,2.11,0,1,0,43.96
28,F,7.4,52.8,12.6,2.1,0,5,0,44.89
24,M,6.1,46.8,12.5,1.73,1,10,1,44.78
18,F,9.4,54.2,14.5,1.66,0,7,1,45.95
18,F,11.0,61.3,12.5,1.48,1,6,1,44.55
37,M,8.6,44.8,20.6,1.76,0,4,1,46.71
30,F,8.2,61.0,10.4,1.39,0,2,0,44.4
26,M,5.8,54.7,15.3,1.0,0,7,0,45.26
20,M,6.2,52.5,25.4,1.0,0,3,0,48.75
24,F,5.0,48.0,17.4,1.36,0,8,2,45.78
23,F,2.6,47.3,18.1,1.65,0,7,3,50.66
25,F,7.0,58.4,19.3,1.7,0,4,2,45.36
26,F,7.3,53.5,13.3,1.45,1,8,1,46.01
22,M,13.4,55.8,10.6,1.64,0,5,0,44.34
18,F,11.9,61.4,15.1,1.52,1,6,2,44.32
36,M,9.4,59.7,15.6,1.3,1,4,2,43.07
27,F,13.2,50.4,9.0,1.58,0,6,2,44.73
29,F,11.5,61.8,15.8,1.84,0,8,1,43.98
32,F,3.0,68.5,17.9,1.31,0,6,0,48.57
39,M,10.7,60.4,10.8,1.31,0,9,0,42.09
26,F,9.8,44.5,17.8,1.28,0,4,0,44.81
37,F,7.3,55.7,18.5,1.02,1,4,0,46.77
34,F,4.5,39.4,18.9,1.46,0,5,0,48.36
34,F,9.5,78.4,15.4,1.81,0,4,1,41.35
37,M,2.8,66.5,12.9,1.65,1,6,1,42.5
29,F,7.9,50.3,11.0,1.55,0,6,2,45.34
24,M,6.5,38.1,14.9,1.64,1,9,3,49.67
19,M,4.9,46.4,13.5,1.45,0,5,2,47.44
20,M,11.0,56.1,14.6,1.02,0,8,0,41.9
34,M,7.9,42.6,20.6,1.84,0,4,2,49.72
22,M,8.4,54.8,9.8,1.92,0,10,0,41.01
34,M,10.3,55.5,15.5,1.38,1,3,2,42.89
34,F,8.0,55.9,10.7,1.55,0,6,1,45.26
34,M,9.1,57.5,11.8,1.53,1,3,2,45.58
19,M,10.0,49.8,17.8,1.71,0,9,2,44.11
19,M,9.4,50.1,10.7,2.11,0,4,0,39.83
39,F,8.7,55.9,17.8,1.95,0,4,1,43.39
22,F,12.5,54.2,9.7,1.49,0,3,0,41.44
18,M,11.1,63.8,16.8,1.76,1,2,1,45.56
18,F,7.8,55.1,8.8,1.98,0,9,1,43.24
36,M,5.7,66.2,11.4,1.72,0,7,2,42.42
19,M,9.6,62.0,21.9,1.6,0,5,1,45.54
38,F,8.5,63.1,21.0,1.73,0,6,3,46.56
29,M,12.3,59.4,12.9,1.39,0,6,1,39.81
23,F,10.5,58.1,16.2,1.43,0,3,1,41.38
21,F,9.9,68.6,18.5,1.28,1,2,1,40.62
28,M,8.0,52.4,18.0,1.69,0,4,1,51.15
34,M,5.8,57.1,13.7,1.56,0,11,1,46.79
23,F,7.5,52.7,12.2,1.35,0,3,0,42.86
22,M,9.2,54.1,18.6,1.55,0,6,3,49.54
37,M,3.7,43.4,20.7,1.74,1,6,0,47.57
19,M,11.1,52.3,22.1,2.17,0,6,2,49.25
23,F,13.2,52.7,8.5,1.9,0,0,5,45.57
39,F,3.1,55.2,10.0,1.0,1,2,0,43.12
28,M,4.5,59.5,19.2,1.67,0,7,2,48.63
33,F,8.6,54.8,8.8,2.03,0,4,1,43.63
33,F,6.5,55.4,19.9,1.2,1,3,1,47.46
18,F,8.7,54.5,14.2,1.77,1,13,0,44.35
26,F,7.8,49.2,13.5,1.53,1,4,2,46.82
23,F,5.4,59.0,15.4,1.95,0,13,2,47.73
33,M,11.2,62.1,8.9,1.72,0,4,0,45.87
20,M,9.2,42.7,19.5,1.33,0,5,1,50.16
37,M,6.6,51.9,22.1,1.54,0,8,1,48.15
21,F,11.8,51.9,18.8,1.56,1,3,1,44.7
36,F,6.7,51.2,14.4,1.56,0,7,1,45.46
20,M,4.9,47.8,9.6,1.94,1,7,0,42.4
36,F,8.5,55.1,9.0,1.35,1,4,1,44.71
37,M,8.9,53.4,9.8,1.9,0,5,1,41.69
24,M,9.3,53.6,15.1,1.51,0,8,1,44.15
37,M,9.7,64.1,14.5,1.67,1,8,1,44.39
26,F,9.3,59.9,18.0,1.62,0,6,0,43.4
18,F,9.2,51.0,8.2,1.59,1,7,2,43.41
25,M,6.6,50.0,20.7,1.6,0,4,1,45.25
24,M,6.3,57.1,17.6,2.04,0,6,1,48.31
35,M,9.9,60.0,13.2,1.85,0,13,2,42.41
25,M,8.6,51.3,10.6,1.49,1,10,0,42.35
18,F,10.1,55.0,20.0,2.07,0,4,2,42.89
28,F,3.7,64.5,12.8,1.68,1,5,0,43.53
35,M,6.7,49.9,15.4,1.71,0,1,1,45.64
27,M,12.8,72.2,14.8,1.35,1,7,2,42.14
20,F,9.4,63.8,10.5,1.45,1,4,2,40.64
24,F,8.7,67.6,12.6,1.39,0,4,2,44.62
33,M,9.8,52.0,18.8,1.63,0,4,1,42.23
33,M,13.5,58.2,17.7,1.79,1,3,2,44.21
37,M,13.0,55.9,18.0,1.71,0,7,3,46.0
34,F,4.1,59.8,9.9,2.08,1,6,1,44.34
19,F,5.0,48.6,14.7,1.33,0,7,2,47.95
18,F,4.0,56.9,13.2,1.63,1,8,1,47.09
33,M,6.1,58.2,16.4,1.22,1,6,4,50.54
29,M,8.1,54.7,16.4,1.32,1,4,0,44.3
22,F,8.6,64.6,14.7,1.98,0,3,1,41.42
22,F,4.2,52.7,25.1,1.46,0,7,0,49.38
26,M,3.3,57.1,13.6,1.36,0,5,0,44.43
26,F,6.1,50.0,13.9,1.0,0,4,3,50.22
20,F,10.3,51.8,10.7,1.36,0,5,0,41.76
36,M,10.7,62.3,8.1,1.54,0,4,3,41.3
33,F,12.3,61.5,9.5,1.19,1,8,0,40.9
33,M,7.9,56.6,12.0,1.52,0,2,0,39.81
20,M,10.1,54.3,20.3,1.98,0,4,3,46.52
37,M,10.5,67.8,13.9,1.39,1,8,2,42.25
39,M,6.8,46.2,16.7,1.32,0,9,2,48.4
18,M,9.0,47.6,15.4,1.26,0,4,5,47.17
37,M,9.6,62.9,15.7,1.26,1,3,1,41.8
28,M,5.7,59.2,20.2,1.76,1,5,1,48.72
34,F,12.1,60.8,6.4,1.61,0,5,0,39.97
25,M,7.9,52.9,20.1,1.89,0,4,0,47.6
21,M,8.2,58.7,4.6,2.21,1,8,0,39.95
23,F,5.6,65.1,14.1,1.05,0,7,4,46.32
25,F,6.1,71.1,22.2,1.71,0,6,2,46.23
37,F,2.5,39.0,19.3,1.26,0,8,0,52.87
20,M,8.1,52.1,16.8,1.84,0,5,2,46.27
33,F,14.3,56.7,22.8,1.52,0,4,1,44.52
20,M,5.5,64.4,11.2,1.61,0,8,0,44.84
35,M,15.0,43.2,17.9,1.22,1,4,1,44.69
31,M,11.5,61.4,16.7,1.47,1,5,2,44.83
35,M,6.8,52.2,13.2,1.63,0,5,2,48.2
19,F,8.1,66.5,12.1,2.01,1,6,4,43.82
39,F,7.7,65.3,11.8,1.36,1,3,2,44.28
20,M,12.3,61.0,14.7,1.43,0,1,0,45.48
33,M,9.3,45.0,18.2,1.88,0,5,1,48.8
26,M,11.0,53.4,15.7,1.34,1,7,0,44.33
21,F,8.9,52.5,18.1,1.94,0,4,2,46.28
18,M,7.7,45.5,8.1,1.6,1,6,3,45.23
21,M,8.8,63.7,13.3,1.69,0,5,4,43.5
18,F,7.0,44.0,12.0,1.71,1,6,0,48.47
31,F,4.4,65.9,15.1,1.42,0,7,1,47.15
38,M,10.0,70.3,14.6,1.72,0,4,2,41.54
33,F,4.2,49.3,15.1,1.37,1,1,1,47.75
37,F,7.3,56.7,16.9,1.45,0,3,1,45.7
25,M,6.9,53.6,19.1,1.77,0,7,1,48.98
24,F,9.6,62.6,14.0,1.69,0,4,0,43.15
20,M,11.9,67.0,9.6,1.58,0,3,3,42.28
34,F,11.0,59.2,8.3,1.22,0,6,1,40.76
18,M,9.7,59.6,14.7,1.3,1,3,0,43.66
33,M,6.4,49.4,16.5,1.68,0,10,1,46.05
29,M,7.5,57.7,10.9,1.82,1,7,1,44.21
36,F,7.2,55.5,17.9,1.27,1,8,2,46.59
39,M,6.8,47.7,13.9,1.35,1,4,1,45.49
39,F,7.0,54.1,8.5,1.64,0,1,1,41.91
31,M,6.9,51.4,20.4,1.63,1,6,2,49.1
23,M,6.8,49.8,20.1,1.11,0,8,0,46.75
23,F,10.4,48.9,7.5,1.65,1,6,1,46.94
30,M,5.4,53.4,12.9,1.42,1,11,2,44.28
36,M,6.2,48.1,13.3,2.09,1,5,4,49.85
39,F,4.0,48.5,22.2,1.67,0,4,0,48.06
25,M,11.5,65.3,13.6,1.73,1,9,2,47.1
19,M,6.0,57.8,8.7,1.73,0,4,2,45.55
38,M,9.7,49.5,19.1,1.24,1,2,1,47.04
18,M,9.2,58.4,9.7,2.18,1,5,1,42.69
32,F,11.3,58.6,13.6,1.11,0,8,1,41.76
18,F,7.5,66.5,10.8,1.84,1,6,2,43.85
22,M,5.6,62.8,12.0,1.79,0,7,1,41.09
33,F,4.1,41.1,20.1,1.46,0,9,0,46.11
36,M,2.0,56.2,21.0,1.8,0,6,1,50.19
21,F,8.4,64.2,9.0,1.5,0,6,1,38.53
20,M,9.9,60.4,17.0,1.4,1,6,1,43.53
34,M,9.2,53.6,12.2,1.74,0,9,1,42.1
34,M,4.2,68.9,10.8,1.3,0,4,3,43.85
29,M,10.6,61.6,16.3,1.53,1,6,0,43.17
31,M,6.3,67.5,9.6,1.42,1,3,0,43.5
38,M,5.7,62.6,16.1,1.5,1,14,0,46.51
23,F,6.2,56.8,17.7,1.73,1,3,1,44.16
20,M,8.2,51.1,13.7,1.42,1,5,0,43.52
26,F,4.3,51.9,20.6,1.54,0,5,0,55.33
22,M,7.9,53.4,10.1,1.45,0,7,0,42.79
34,F,9.1,47.4,21.1,2.03,1,8,0,44.82
31,F,10.8,61.8,6.5,1.7,0,4,0,38.83
38,F,8.4,66.3,24.7,1.67,1,8,1,45.17
20,M,4.7,50.3,13.8,1.81,0,10,0,44.86
18,M,8.4,70.5,8.8,1.42,0,13,1,40.59
37,F,5.3,41.9,15.4,1.86,0,10,0,47.08
38,M,5.2,60.1,10.3,1.7,1,5,0,43.09
18,F,4.6,64.0,15.6,1.13,0,5,2,43.76
20,M,3.2,49.7,21.0,1.17,1,6,0,48.72
35,F,6.6,52.6,11.3,1.43,0,6,1,45.15
27,F,10.8,64.5,16.4,1.2,0,5,0,43.33
39,M,13.6,63.0,8.1,1.53,1,4,3,38.62
20,F,6.6,39.9,20.6,1.3,1,5,0,48.65
25,M,10.7,51.3,17.0,1.57,0,5,0,40.52
31,F,7.0,54.1,19.4,2.02,1,7,1,46.23
35,F,3.9,42.1,15.8,1.59,0,8,3,51.33
32,M,9.8,53.1,13.4,1.51,0,3,1,46.49
39,M,8.6,46.1,19.2,1.72,0,7,1,47.92
19,M,12.5,56.0,9.7,1.39,1,4,0,42.78
27,F,4.2,49.6,8.6,1.85,1,10,0,44.0
19,M,15.0,63.1,14.2,1.75,0,2,1,40.52
34,F,12.0,57.6,13.2,1.61,1,7,2,49.2
25,F,8.0,58.5,16.9,1.65,0,8,1,46.65
18,M,7.3,57.1,19.2,2.21,0,6,4,46.05
26,M,6.2,60.8,16.6,1.88,0,7,0,40.85
28,F,8.3,61.4,18.4,2.26,0,4,2,44.72
39,F,7.5,60.0,15.8,1.76,0,8,0,46.23
33,M,9.3,77.8,14.7,1.16,0,6,1,41.26
24,M,7.3,56.9,14.3,1.52,1,6,1,40.35
27,M,11.5,76.0,14.8,1.09,0,4,0,39.65
20,M,8.3,58.1,15.4,1.76,0,5,0,43.79
